agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,o_cell_id,d_cell_id,volume,departure_time,travel_time,distance,node_sequence,first_from_node_id,first_to_node_id,first_link_lanes,first_link_free_speed,first_link_V/C,first_link_TTI,geometry
20739AB,9028400,9028402,1016,1016,-2243999328,-2243999328,531.958313,0.000000,0.000000,0.000000,9028400;9028402;,9028400,9028402,1,41.000000,0.792784,-1.000000,"LINESTRING (-112.195010 33.638650,-112.195330 33.638640,)"
20739BA,9028401,9028405,1016,1016,-2243999328,-2243999328,281.625000,0.000000,0.000000,0.000000,9028401;9028405;,9028401,9028405,1,41.000000,0.493214,-1.000000,"LINESTRING (-112.195350 33.638500,-112.195140 33.638710,)"
20749AB,325201,37900,2733,2733,-2244999327,-2244999327,1016.656250,0.000000,0.000000,0.000000,325201;37900;,325201,37900,1,71.000000,0.596629,-1.000000,"LINESTRING (-112.205290 33.668280,-112.210150 33.667820,)"
20750AB,74502,74600,2733,2733,-2244999327,-2244999327,1244.312500,0.000000,0.000000,0.000000,74502;74600;,74502,74600,1,71.000000,0.730230,-1.000000,"LINESTRING (-112.210150 33.667590,-112.205510 33.667410,)"
20755AB,63200,74502,2733,2733,-2244999327,-2244999327,968.125000,0.000000,0.000000,0.000000,63200;74502;,63200,74502,5,71.000000,0.568015,-1.000000,"LINESTRING (-112.210980 33.667570,-112.210150 33.667590,)"
20756AB,325201,37900,2733,2733,-2244999327,-2244999327,280.625000,0.000000,0.000000,0.000000,325201;37900;,325201,37900,1,71.000000,0.164686,-1.000000,"LINESTRING (-112.205290 33.668280,-112.210150 33.667820,)"
21503AB,204500,48700,2733,2733,-2244999327,-2244999327,665.187500,0.000000,0.000000,0.000000,204500;48700;,204500,48700,4,41.000000,0.990968,-1.000000,"LINESTRING (-112.203150 33.676060,-112.203140 33.675830,)"
21503BA,204601,204700,2733,2733,-2244999327,-2244999327,238.000000,0.000000,0.000000,0.000000,204601;204700;,204601,204700,3,41.000000,0.354518,-1.000000,"LINESTRING (-112.203010 33.676770,-112.203020 33.676820,)"
23183AB,272900,272700,2733,2733,-2244999327,-2244999327,309.083344,0.000000,0.000000,0.000000,272900;272700;,272900,272700,2,41.000000,0.460288,-1.000000,"LINESTRING (-112.203100 33.666580,-112.203090 33.665960,)"
23183BA,317201,272900,2733,2733,-2244999327,-2244999327,193.541672,0.000000,0.000000,0.000000,317201;272900;,317201,272900,1,41.000000,0.288438,-1.000000,"LINESTRING (-112.202930 33.666030,-112.203100 33.666580,)"
23683AB,281100,9029903,308,308,-2241999327,-2241999327,180.500000,0.000000,0.000000,0.000000,281100;9029903;,281100,9029903,4,40.000000,0.316112,-1.000000,"LINESTRING (-112.073750 33.683820,-112.074040 33.683820,)"
23683BA,9029904,9029900,308,308,-2241999327,-2241999327,369.083344,0.000000,0.000000,0.000000,9029904;9029900;,9029904,9029900,1,20.000000,0.011073,-1.000000,"LINESTRING (-112.074180 33.683610,-112.074070 33.683690,)"
23696AB,75500,128300,459,459,-2242999327,-2242999327,863.900024,0.000000,0.000000,0.000000,75500;128300;,75500,128300,4,70.000000,0.496209,-1.000000,"LINESTRING (-112.112280 33.684150,-112.112290 33.684980,)"
23701AB,9038801,9038800,90051,90051,-2240999327,-2240999327,275.833344,0.000000,0.000000,0.000000,9038801;9038800;,9038801,9038800,1,41.000000,0.411078,-1.000000,"LINESTRING (-112.005410 33.684090,-112.004930 33.684100,)"
23701BA,9038802,9038803,90051,90051,-2240999327,-2240999327,115.375000,0.000000,0.000000,0.000000,9038802;9038803;,9038802,9038803,1,41.000000,0.171945,-1.000000,"LINESTRING (-112.004910 33.684240,-112.005400 33.684230,)"
23709AB,47500,902,459,459,-2242999327,-2242999327,979.520813,0.000000,0.000000,0.000000,47500;902;,47500,902,7,70.000000,0.562620,-1.000000,"LINESTRING (-112.113200 33.691130,-112.112960 33.689310,)"
23908AB,37803,37806,1016,1016,-2243999328,-2243999328,154.187500,0.000000,0.000000,0.000000,37803;37806;,37803,37806,1,41.000000,0.229788,-1.000000,"LINESTRING (-112.151970 33.647430,-112.151980 33.647340,)"
23908BA,37804,37802,1016,1016,-2243999328,-2243999328,259.187500,0.000000,0.000000,0.000000,37804;37802;,37804,37802,1,25.000000,0.007776,-1.000000,"LINESTRING (-112.151800 33.647340,-112.151830 33.647420,)"
23911AB,10403,10406,1016,1016,-2243999328,-2243999328,365.625000,0.000000,0.000000,0.000000,10403;10406;,10403,10406,1,41.000000,0.544896,-1.000000,"LINESTRING (-112.186460 33.647290,-112.186470 33.647200,)"
23911BA,10402,231002,1016,1016,-2243999328,-2243999328,355.000000,0.000000,0.000000,0.000000,10402;231002;,10402,231002,2,41.000000,0.528667,-1.000000,"LINESTRING (-112.186330 33.647270,-112.186320 33.647510,)"
23943AB,13301,158101,1016,1016,-2243999328,-2243999328,392.812500,0.000000,0.000000,0.000000,13301;158101;,13301,158101,2,41.000000,0.584978,-1.000000,"LINESTRING (-112.168400 33.632260,-112.168380 33.631840,)"
23943BA,158100,13300,1016,1016,-2243999328,-2243999328,297.375000,0.000000,0.000000,0.000000,158100;13300;,158100,13300,3,41.000000,0.442962,-1.000000,"LINESTRING (-112.168250 33.631840,-112.168270 33.632250,)"
23952AB,106001,9029200,107300,107300,-2243999327,-2243999327,127.333336,0.000000,0.000000,0.000000,106001;9029200;,106001,9029200,3,41.000000,0.189672,-1.000000,"LINESTRING (-112.180220 33.654490,-112.181540 33.654500,)"
23952BA,9029103,9029105,107300,107300,-2243999327,-2243999327,311.875000,0.000000,0.000000,0.000000,9029103;9029105;,9029103,9029105,1,41.000000,0.464791,-1.000000,"LINESTRING (-112.177770 33.654370,-112.177630 33.654300,)"
24016AB,140100,137501,107300,107300,-2243999327,-2243999327,415.750000,0.000000,0.000000,0.000000,140100;137501;,140100,137501,2,41.000000,0.619136,-1.000000,"LINESTRING (-112.186780 33.675450,-112.186800 33.672920,)"
24016BA,9028902,333200,107300,107300,-2243999327,-2243999327,238.562500,0.000000,0.000000,0.000000,9028902;333200;,9028902,333200,2,41.000000,0.355268,-1.000000,"LINESTRING (-112.186670 33.672680,-112.186650 33.675070,)"
24017AB,9028906,9017100,107300,107300,-2243999327,-2243999327,144.250000,0.000000,0.000000,0.000000,9028906;9017100;,9028906,9017100,1,25.000000,0.004328,-1.000000,"LINESTRING (-112.186880 33.672570,-112.187420 33.672530,)"
24017BA,9017101,9028907,107300,107300,-2243999327,-2243999327,328.750000,0.000000,0.000000,0.000000,9017101;9028907;,9017101,9028907,1,25.000000,0.009863,-1.000000,"LINESTRING (-112.187420 33.672530,-112.186880 33.672490,)"
24023AB,203001,203003,107300,107300,-2243999327,-2243999327,420.187500,0.000000,0.000000,0.000000,203001;203003;,203001,203003,1,41.000000,0.296826,-1.000000,"LINESTRING (-112.168920 33.654630,-112.168900 33.654400,)"
24023BA,106202,89302,107300,107300,-2243999327,-2243999327,275.125000,0.000000,0.000000,0.000000,106202;89302;,106202,89302,3,41.000000,0.409819,-1.000000,"LINESTRING (-112.168990 33.660800,-112.169030 33.661660,)"
24086AB,225800,9028003,1016,1016,-2243999328,-2243999328,274.958344,0.000000,0.000000,0.000000,225800;9028003;,225800,9028003,4,41.000000,0.409621,-1.000000,"LINESTRING (-112.159710 33.639250,-112.160300 33.639240,)"
24086BA,9028001,225200,1016,1016,-2243999328,-2243999328,449.875000,0.000000,0.000000,0.000000,9028001;225200;,9028001,225200,3,41.000000,0.670122,-1.000000,"LINESTRING (-112.160300 33.639100,-112.157910 33.639140,)"
24095AB,24503,223701,969,969,-2242999328,-2242999328,322.875000,0.000000,0.000000,0.000000,24503;223701;,24503,223701,2,40.000000,0.565455,-1.000000,"LINESTRING (-112.134540 33.647270,-112.134540 33.646950,)"
24095BA,24502,24505,969,969,-2242999328,-2242999328,205.375000,0.000000,0.000000,0.000000,24502;24505;,24502,24505,1,40.000000,0.359676,-1.000000,"LINESTRING (-112.134390 33.647230,-112.134400 33.647350,)"
24144AB,25603,25601,459,459,-2242999327,-2242999327,324.187500,0.000000,0.000000,0.000000,25603;25601;,25603,25601,2,40.000000,0.283877,-1.000000,"LINESTRING (-112.134780 33.676570,-112.134780 33.676350,)"
24144BA,25600,25602,459,459,-2242999327,-2242999327,290.250000,0.000000,0.000000,0.000000,25600;25602;,25600,25602,2,40.000000,0.254159,-1.000000,"LINESTRING (-112.134660 33.676350,-112.134670 33.676570,)"
24693AB,9027001,9027005,969,969,-2242999328,-2242999328,373.089294,0.000000,0.000000,0.000000,9027001;9027005;,9027001,9027005,1,40.000000,0.653396,-1.000000,"LINESTRING (-112.123430 33.639840,-112.123570 33.639910,)"
24693BA,164902,131801,969,969,-2242999328,-2242999328,528.375000,0.000000,0.000000,0.000000,164902;131801;,164902,131801,3,40.000000,0.925350,-1.000000,"LINESTRING (-112.118240 33.639780,-112.118000 33.639780,)"
24721AB,98302,96900,1691,969,-2241999328,-2242999328,324.625000,0.000000,0.000000,0.000000,98302;96900;,98302,96900,1,40.000000,0.568520,-1.000000,"LINESTRING (-112.099790 33.633530,-112.100130 33.633010,)"
24721BA,98301,208502,1691,1691,-2241999328,-2241999328,193.750000,0.000000,0.000000,0.000000,98301;208502;,98301,208502,3,40.000000,0.339317,-1.000000,"LINESTRING (-112.099660 33.633530,-112.099640 33.635760,)"
24729AB,9036102,53201,969,969,-2242999328,-2242999328,1088.187500,0.000000,0.000000,0.000000,9036102;53201;,9036102,53201,3,70.000000,0.625036,-1.000000,"LINESTRING (-112.114000 33.640140,-112.114090 33.640850,)"
24732AB,37700,37701,969,969,-2242999328,-2242999328,958.625000,0.000000,0.000000,0.000000,37700;37701;,37700,37701,1,40.000000,1.678853,-1.000000,"LINESTRING (-112.115450 33.647510,-112.115470 33.647290,)"
24733AB,41700,35900,969,969,-2242999328,-2242999328,378.750000,0.000000,0.000000,0.000000,41700;35900;,41700,35900,2,40.000000,0.663310,-1.000000,"LINESTRING (-112.114970 33.642700,-112.114950 33.644060,)"
24768AB,211701,9027602,969,969,-2242999328,-2242999328,295.296875,0.000000,0.000000,0.000000,211701;9027602;,211701,9027602,4,40.000000,0.517157,-1.000000,"LINESTRING (-112.103450 33.640160,-112.103890 33.640150,)"
24768BA,9027604,190502,969,969,-2242999328,-2242999328,427.375000,0.000000,0.000000,0.000000,9027604;190502;,9027604,190502,4,40.000000,0.748468,-1.000000,"LINESTRING (-112.103880 33.640010,-112.103130 33.640020,)"
24777AB,51801,82101,308,459,-2241999327,-2242999327,891.250000,0.000000,0.000000,0.000000,51801;82101;,51801,82101,5,70.000000,0.511918,-1.000000,"LINESTRING (-112.099350 33.669580,-112.100290 33.669450,)"
24779AB,77701,4000,459,459,-2242999327,-2242999327,790.791687,0.000000,0.000000,0.000000,77701;4000;,77701,4000,5,70.000000,0.454217,-1.000000,"LINESTRING (-112.126610 33.668860,-112.127550 33.668860,)"
24782AB,328200,328101,459,459,-2242999327,-2242999327,703.125000,0.000000,0.000000,0.000000,328200;328101;,328200,328101,4,70.000000,0.403863,-1.000000,"LINESTRING (-112.115730 33.668630,-112.114090 33.668630,)"
24792AB,65401,65501,459,459,-2242999327,-2242999327,278.875000,0.000000,0.000000,0.000000,65401;65501;,65401,65501,2,70.000000,0.160181,-1.000000,"LINESTRING (-112.123860 33.668410,-112.120850 33.668360,)"
24793AB,366701,275701,459,459,-2242999327,-2242999327,845.500000,0.000000,0.000000,0.000000,366701;275701;,366701,275701,2,40.000000,1.480736,-1.000000,"LINESTRING (-112.104340 33.669340,-112.107950 33.669350,)"
24804AB,127402,127404,459,459,-2242999327,-2242999327,159.000000,0.000000,0.000000,0.000000,127402;127404;,127402,127404,2,40.000000,0.236960,-1.000000,"LINESTRING (-112.117220 33.683880,-112.117450 33.683700,)"
24804BA,127401,127403,459,459,-2242999327,-2242999327,278.500000,0.000000,0.000000,0.000000,127401;127403;,127401,127403,2,40.000000,0.487741,-1.000000,"LINESTRING (-112.117550 33.683740,-112.117250 33.683740,)"
24811AB,4100,4104,459,459,-2242999327,-2242999327,371.270844,0.000000,0.000000,0.000000,4100;4104;,4100,4104,1,40.000000,0.650212,-1.000000,"LINESTRING (-112.125670 33.654720,-112.125860 33.654580,)"
24811BA,4105,4101,459,459,-2242999327,-2242999327,715.066650,0.000000,0.000000,0.000000,4105;4101;,4105,4101,1,20.000000,0.021452,-1.000000,"LINESTRING (-112.125780 33.654580,-112.125690 33.654610,)"
24946AB,9038303,9038300,459,459,-2242999327,-2242999327,398.604156,0.000000,0.000000,0.000000,9038303;9038300;,9038303,9038300,1,40.000000,0.698081,-1.000000,"LINESTRING (-112.111170 33.654640,-112.110840 33.654640,)"
24946BA,9038302,9038301,459,459,-2242999327,-2242999327,225.875000,0.000000,0.000000,0.000000,9038302;9038301;,9038302,9038301,3,40.000000,0.395578,-1.000000,"LINESTRING (-112.110830 33.654790,-112.111150 33.654790,)"
25020AB,127300,142100,459,459,-2242999327,-2242999327,445.910706,0.000000,0.000000,0.000000,127300;142100;,127300,142100,4,40.000000,0.780929,-1.000000,"LINESTRING (-112.108670 33.683730,-112.108550 33.683790,)"
25020BA,142103,41500,459,459,-2242999327,-2242999327,193.750000,0.000000,0.000000,0.000000,142103;41500;,142103,41500,3,40.000000,0.339317,-1.000000,"LINESTRING (-112.108550 33.683790,-112.108670 33.683850,)"
25079AB,74800,75101,459,459,-2242999327,-2242999327,177.500000,0.000000,0.000000,0.000000,74800;75101;,74800,75101,1,70.000000,0.101953,-1.000000,"LINESTRING (-112.112110 33.686810,-112.112500 33.688600,)"
25149AB,9027101,9027102,1691,1691,-2241999328,-2241999328,239.458328,0.000000,0.000000,0.000000,9027101;9027102;,9027101,9027102,2,40.000000,0.419367,-1.000000,"LINESTRING (-112.074010 33.640340,-112.074330 33.640340,)"
25149BA,132505,132501,1691,1691,-2241999328,-2241999328,448.041656,0.000000,0.000000,0.000000,132505;132501;,132505,132501,1,20.000000,0.013441,-1.000000,"LINESTRING (-112.082940 33.638570,-112.082780 33.638720,)"
25199AB,50902,73300,308,308,-2241999327,-2241999327,1071.343750,0.000000,0.000000,0.000000,50902;73300;,50902,73300,5,70.000000,0.615361,-1.000000,"LINESTRING (-112.099250 33.669350,-112.091850 33.669400,)"
25212AB,134407,134402,308,308,-2241999327,-2241999327,237.500000,0.000000,0.000000,0.000000,134407;134402;,134407,134402,1,20.000000,0.007125,-1.000000,"LINESTRING (-112.082750 33.661950,-112.082890 33.661800,)"
25212BA,134403,134406,308,308,-2241999327,-2241999327,296.250000,0.000000,0.000000,0.000000,134403;134406;,134403,134406,1,40.000000,0.518827,-1.000000,"LINESTRING (-112.082780 33.661810,-112.082750 33.661880,)"
25259AB,125102,124900,459,459,-2242999327,-2242999327,194.925003,0.000000,0.000000,0.000000,125102;124900;,125102,124900,2,40.000000,0.341375,-1.000000,"LINESTRING (-112.132160 33.683780,-112.130560 33.683780,)"
25259BA,125102,124900,459,459,-2242999327,-2242999327,336.562500,0.000000,0.000000,0.000000,125102;124900;,125102,124900,2,40.000000,0.589426,-1.000000,"LINESTRING (-112.132160 33.683780,-112.130560 33.683780,)"
25592AB,27101,280801,308,308,-2241999327,-2241999327,496.812500,0.000000,0.000000,0.000000,27101;280801;,27101,280801,2,40.000000,0.870074,-1.000000,"LINESTRING (-112.099990 33.690940,-112.099990 33.690550,)"
25592BA,280800,27100,308,308,-2241999327,-2241999327,205.583328,0.000000,0.000000,0.000000,280800;27100;,280800,27100,4,40.000000,0.360041,-1.000000,"LINESTRING (-112.099830 33.690590,-112.099840 33.690900,)"
25602AB,31400,181000,1810,1810,-2238999328,-2238999328,196.875000,0.000000,0.000000,0.000000,31400;181000;,31400,181000,3,41.000000,0.293260,-1.000000,"LINESTRING (-111.916680 33.636240,-111.916610 33.636220,)"
25602BA,31400,181000,1810,1810,-2238999328,-2238999328,125.250000,0.000000,0.000000,0.000000,31400;181000;,31400,181000,3,41.000000,0.186569,-1.000000,"LINESTRING (-111.916680 33.636240,-111.916610 33.636220,)"
25834AB,204900,169100,1691,1691,-2241999328,-2241999328,458.250000,0.000000,0.000000,0.000000,204900;169100;,204900,169100,4,40.000000,0.802539,-1.000000,"LINESTRING (-112.065630 33.639770,-112.065620 33.639660,)"
25834BA,318300,204801,1691,1691,-2241999328,-2241999328,201.250000,0.000000,0.000000,0.000000,318300;204801;,318300,204801,3,40.000000,0.352452,-1.000000,"LINESTRING (-112.065430 33.639360,-112.065430 33.639390,)"
26188AB,185803,185805,1691,1691,-2241999328,-2241999328,317.875000,0.000000,0.000000,0.000000,185803;185805;,185803,185805,1,40.000000,0.556699,-1.000000,"LINESTRING (-112.065680 33.647700,-112.065670 33.647590,)"
26188BA,185807,185802,1691,1691,-2241999328,-2241999328,298.375000,0.000000,0.000000,0.000000,185807;185802;,185807,185802,1,20.000000,0.008951,-1.000000,"LINESTRING (-112.065450 33.647610,-112.065510 33.647690,)"
26190AB,9007500,1304,1409,1409,-2240999328,-2240999328,502.625000,0.000000,0.000000,0.000000,9007500;1304;,9007500,1304,1,25.000000,0.015079,-1.000000,"LINESTRING (-112.031520 33.637600,-112.030920 33.637610,)"
26190BA,1303,1305,1409,1409,-2240999328,-2240999328,194.875000,0.000000,0.000000,0.000000,1303;1305;,1303,1305,1,41.000000,0.290425,-1.000000,"LINESTRING (-112.030750 33.637520,-112.030920 33.637670,)"
26195AB,60400,286500,308,90051,-2241999327,-2240999327,1866.500000,0.000000,0.000000,0.000000,60400;286500;,60400,286500,2,41.000000,2.779598,-1.000000,"LINESTRING (-112.057160 33.668740,-112.049790 33.668550,)"
26196AB,9032400,60300,90051,308,-2240999327,-2241999327,361.125000,0.000000,0.000000,0.000000,9032400;60300;,9032400,60300,2,41.000000,0.537789,-1.000000,"LINESTRING (-112.048730 33.669480,-112.057210 33.669460,)"
26200AB,218600,9029001,1691,1691,-2241999328,-2241999328,221.416672,0.000000,0.000000,0.000000,218600;9029001;,218600,9029001,4,41.000000,0.329857,-1.000000,"LINESTRING (-112.056230 33.640430,-112.056710 33.640430,)"
26200BA,9029003,216400,1691,1691,-2241999328,-2241999328,477.166656,0.000000,0.000000,0.000000,9029003;216400;,9029003,216400,3,41.000000,0.710775,-1.000000,"LINESTRING (-112.056730 33.640270,-112.055730 33.640270,)"
26236AB,13103,13101,308,308,-2241999327,-2241999327,283.812500,0.000000,0.000000,0.000000,13103;13101;,13103,13101,2,41.000000,0.422655,-1.000000,"LINESTRING (-112.056760 33.654900,-112.057040 33.654880,)"
26236BA,13100,13102,308,308,-2241999327,-2241999327,615.125000,0.000000,0.000000,0.000000,13100;13102;,13100,13102,2,41.000000,0.916046,-1.000000,"LINESTRING (-112.057060 33.654770,-112.056780 33.654790,)"
26256AB,139503,139505,308,308,-2241999327,-2241999327,283.000000,0.000000,0.000000,0.000000,139503;139505;,139503,139505,1,40.000000,0.495622,-1.000000,"LINESTRING (-112.065730 33.676680,-112.065570 33.676520,)"
26256BA,139504,139502,308,308,-2241999327,-2241999327,291.250000,0.000000,0.000000,0.000000,139504;139502;,139504,139502,1,20.000000,0.008738,-1.000000,"LINESTRING (-112.065570 33.676580,-112.065580 33.676680,)"
26296AB,237502,140900,1409,1409,-2240999328,-2240999328,224.541672,0.000000,0.000000,0.000000,237502;140900;,237502,140900,4,41.000000,0.334513,-1.000000,"LINESTRING (-112.030890 33.635530,-112.030890 33.635380,)"
26296BA,140901,237503,1409,1409,-2240999328,-2240999328,198.625000,0.000000,0.000000,0.000000,140901;237503;,140901,237503,3,41.000000,0.295866,-1.000000,"LINESTRING (-112.030720 33.635380,-112.030720 33.635540,)"
26304AB,35103,242201,1409,1409,-2240999328,-2240999328,322.125000,0.000000,0.000000,0.000000,35103;242201;,35103,242201,2,41.000000,0.479710,-1.000000,"LINESTRING (-112.013520 33.633440,-112.013520 33.633140,)"
26304BA,242200,35102,1409,1409,-2240999328,-2240999328,256.875000,0.000000,0.000000,0.000000,242200;35102;,242200,35102,3,41.000000,0.382634,-1.000000,"LINESTRING (-112.013390 33.633160,-112.013390 33.633430,)"
26395AB,84300,84200,90051,90051,-2240999327,-2240999327,127.125000,0.000000,0.000000,0.000000,84300;84200;,84300,84200,5,71.000000,0.074586,-1.000000,"LINESTRING (-112.013210 33.672890,-112.014250 33.672890,)"
26395BA,84401,84101,90051,90051,-2240999327,-2240999327,118.375000,0.000000,0.000000,0.000000,84401;84101;,84401,84101,5,71.000000,0.069453,-1.000000,"LINESTRING (-112.014250 33.672700,-112.013220 33.672710,)"
26399AB,60901,84401,90051,90051,-2240999327,-2240999327,1557.500000,0.000000,0.000000,0.000000,60901;84401;,60901,84401,5,71.000000,0.913811,-1.000000,"LINESTRING (-112.023710 33.672630,-112.014250 33.672700,)"
26400AB,84300,84200,90051,90051,-2240999327,-2240999327,1089.437500,0.000000,0.000000,0.000000,84300;84200;,84300,84200,5,71.000000,0.639191,-1.000000,"LINESTRING (-112.013210 33.672890,-112.014250 33.672890,)"
26403AB,21100,262600,90051,90051,-2240999327,-2240999327,358.625000,0.000000,0.000000,0.000000,21100;262600;,21100,262600,2,41.000000,0.534066,-1.000000,"LINESTRING (-112.030910 33.662180,-112.030940 33.661830,)"
26403BA,21101,21104,90051,90051,-2240999327,-2240999327,484.375000,0.000000,0.000000,0.000000,21101;21104;,21101,21104,1,41.000000,0.721870,-1.000000,"LINESTRING (-112.030780 33.662150,-112.030750 33.662260,)"
26404AB,41204,41201,90051,90051,-2240999327,-2240999327,203.812500,0.000000,0.000000,0.000000,41204;41201;,41204,41201,1,25.000000,0.356940,-1.000000,"LINESTRING (-112.022150 33.654970,-112.022330 33.655130,)"
26404BA,41200,41205,90051,90051,-2240999327,-2240999327,473.333344,0.000000,0.000000,0.000000,41200;41205;,41200,41205,1,41.000000,0.705415,-1.000000,"LINESTRING (-112.022370 33.655000,-112.022240 33.655010,)"
26653AB,9030901,9030903,476,476,-2239999328,-2239999328,563.375000,0.000000,0.000000,0.000000,9030901;9030903;,9030901,9030903,1,41.000000,0.839605,-1.000000,"LINESTRING (-111.968870 33.640450,-111.968550 33.640450,)"
26653BA,9030905,9030902,476,476,-2239999328,-2239999328,214.875000,0.000000,0.000000,0.000000,9030905;9030902;,9030905,9030902,1,25.000000,0.006446,-1.000000,"LINESTRING (-111.968710 33.640650,-111.968830 33.640580,)"
26708AB,318700,318702,90070,90070,-2239999327,-2239999327,592.187500,0.000000,0.000000,0.000000,318700;318702;,318700,318702,3,41.000000,0.294036,-1.000000,"LINESTRING (-111.977360 33.655980,-111.977360 33.656060,)"
26708BA,318703,318701,90070,90070,-2239999327,-2239999327,372.000000,0.000000,0.000000,0.000000,318703;318701;,318703,318701,2,41.000000,0.276992,-1.000000,"LINESTRING (-111.977490 33.656060,-111.977490 33.655980,)"
26715AB,298800,28701,90070,90070,-2239999327,-2239999327,411.062500,0.000000,0.000000,0.000000,298800;28701;,298800,28701,2,41.000000,0.612156,-1.000000,"LINESTRING (-111.975820 33.683770,-111.975530 33.684230,)"
26715BA,113601,113500,90070,90070,-2239999327,-2239999327,776.750000,0.000000,0.000000,0.000000,113601;113500;,113601,113500,2,41.000000,1.156739,-1.000000,"LINESTRING (-111.975730 33.684320,-111.976290 33.683320,)"
26751AB,38106,38103,476,476,-2239999328,-2239999328,267.625000,0.000000,0.000000,0.000000,38106;38103;,38106,38103,1,25.000000,0.008029,-1.000000,"LINESTRING (-111.960410 33.633220,-111.960380 33.633150,)"
26751BA,38102,38104,476,476,-2239999328,-2239999328,239.000000,0.000000,0.000000,0.000000,38102;38104;,38102,38104,1,41.000000,0.356185,-1.000000,"LINESTRING (-111.960250 33.633130,-111.960240 33.633220,)"
26780AB,9032506,9032507,90070,90070,-2239999327,-2239999327,391.812500,0.000000,0.000000,0.000000,9032506;9032507;,9032506,9032507,1,41.000000,0.583923,-1.000000,"LINESTRING (-111.959960 33.663380,-111.959950 33.663800,)"
26797AB,174001,174000,90070,90070,-2239999327,-2239999327,110.750000,0.000000,0.000000,0.000000,174001;174000;,174001,174000,2,41.000000,0.164929,-1.000000,"LINESTRING (-111.956000 33.663380,-111.955730 33.663320,)"
26797BA,306701,174001,90070,90070,-2239999327,-2239999327,354.812500,0.000000,0.000000,0.000000,306701;174001;,306701,174001,3,41.000000,0.528519,-1.000000,"LINESTRING (-111.956710 33.663480,-111.956000 33.663380,)"
26835AB,178001,9000700,597,597,-2238999327,-2238999327,138.354172,0.000000,0.000000,0.000000,178001;9000700;,178001,9000700,3,25.000000,0.004151,-1.000000,"LINESTRING (-111.942580 33.660370,-111.942570 33.660610,)"
26896AB,9040905,9040902,90051,90051,-2240999327,-2240999327,433.541656,0.000000,0.000000,0.000000,9040905;9040902;,9040905,9040902,1,25.000000,0.759267,-1.000000,"LINESTRING (-112.025620 33.699330,-112.025960 33.699240,)"
26896BA,9040901,9040904,90051,90051,-2240999327,-2240999327,653.000000,0.000000,0.000000,0.000000,9040901;9040904;,9040901,9040904,1,41.000000,0.973174,-1.000000,"LINESTRING (-112.025830 33.699180,-112.025690 33.699230,)"
27025AB,23103,23101,597,597,-2238999327,-2238999327,286.750000,0.000000,0.000000,0.000000,23103;23101;,23103,23101,1,41.000000,0.427347,-1.000000,"LINESTRING (-111.942590 33.698770,-111.942760 33.698770,)"
27025BA,23100,23102,597,597,-2238999327,-2238999327,688.625000,0.000000,0.000000,0.000000,23100;23102;,23100,23102,1,41.000000,1.026267,-1.000000,"LINESTRING (-111.942760 33.698700,-111.942590 33.698700,)"
28009AB,124000,124001,1810,1810,-2238999328,-2238999328,287.125000,0.000000,0.000000,0.000000,124000;124001;,124000,124001,3,41.000000,0.427694,-1.000000,"LINESTRING (-111.916640 33.636380,-111.916790 33.636420,)"
28009BA,31400,181000,1810,1810,-2238999328,-2238999328,441.875000,0.000000,0.000000,0.000000,31400;181000;,31400,181000,3,41.000000,0.658205,-1.000000,"LINESTRING (-111.916680 33.636240,-111.916610 33.636220,)"
28049AB,9034601,9034600,597,597,-2238999327,-2238999327,153.250000,0.000000,0.000000,0.000000,9034601;9034600;,9034601,9034600,3,41.000000,0.228277,-1.000000,"LINESTRING (-111.929950 33.655090,-111.929460 33.655090,)"
28049BA,9038101,9038100,597,597,-2238999327,-2238999327,190.375000,0.000000,0.000000,0.000000,9038101;9038100;,9038101,9038100,2,41.000000,0.283507,-1.000000,"LINESTRING (-111.929440 33.655270,-111.929880 33.655270,)"
28060AB,9026805,9026800,597,597,-2238999327,-2238999327,584.000000,0.000000,0.000000,0.000000,9026805;9026800;,9026805,9026800,2,41.000000,0.869695,-1.000000,"LINESTRING (-111.925460 33.655450,-111.925460 33.654960,)"
28060BA,9026806,9026803,597,597,-2238999327,-2238999327,345.875000,0.000000,0.000000,0.000000,9026806;9026803;,9026806,9026803,2,41.000000,0.515078,-1.000000,"LINESTRING (-111.925250 33.654910,-111.925090 33.655090,)"
28084AB,9034801,9034803,597,597,-2238999327,-2238999327,767.916687,0.000000,0.000000,0.000000,9034801;9034803;,9034801,9034803,2,41.000000,1.143584,-1.000000,"LINESTRING (-111.925340 33.664670,-111.925320 33.664320,)"
28084BA,9034802,9034800,597,597,-2238999327,-2238999327,648.437500,0.000000,0.000000,0.000000,9034802;9034800;,9034802,9034800,2,41.000000,0.965655,-1.000000,"LINESTRING (-111.925190 33.664300,-111.925210 33.664660,)"
28451AB,145106,344200,597,597,-2238999327,-2238999327,400.437500,0.000000,0.000000,0.000000,145106;344200;,145106,344200,2,41.000000,0.596333,-1.000000,"LINESTRING (-111.925260 33.698810,-111.925260 33.699130,)"
28451BA,145107,145102,597,597,-2238999327,-2238999327,798.500000,0.000000,0.000000,0.000000,145107;145102;,145107,145102,1,41.000000,1.190015,-1.000000,"LINESTRING (-111.925400 33.698820,-111.925400 33.698730,)"
