measurement_id,measurement_type,from_node_id,to_node_id,count1,upper_bound_flag1,lanes,free_speed,VCratio,TTI,link_type_name,link_type_code,allowed_link_type_code,blocked_link_type_code,geometry
20739AB,link,9028400,9028402,531.958313,0,1,41.000000,0.792784,-1.000000,primary,a,,,"LINESTRING (-112.195010 33.638650,-112.195330 33.638640,)"
20739BA,link,9028401,9028405,281.625000,0,1,41.000000,0.493214,-1.000000,primary,a,,,"LINESTRING (-112.195350 33.638500,-112.195140 33.638710,)"
20749AB,link,325201,37900,1016.656250,0,1,71.000000,0.596629,-1.000000,moto_1lane,a,,,"LINESTRING (-112.205290 33.668280,-112.210150 33.667820,)"
20750AB,link,74502,74600,1244.312500,0,1,71.000000,0.730230,-1.000000,moto_1lane,a,,,"LINESTRING (-112.210150 33.667590,-112.205510 33.667410,)"
20755AB,link,63200,74502,4840.625000,0,5,71.000000,0.568015,-1.000000,motorway,f,,,"LINESTRING (-112.210980 33.667570,-112.210150 33.667590,)"
20756AB,link,325201,37900,280.625000,0,1,71.000000,0.164686,-1.000000,moto_1lane,a,,,"LINESTRING (-112.205290 33.668280,-112.210150 33.667820,)"
21503AB,link,204500,48700,2660.750000,0,4,41.000000,0.990968,-1.000000,secondary,a,,,"LINESTRING (-112.203150 33.676060,-112.203140 33.675830,)"
21503BA,link,204601,204700,714.000000,0,3,41.000000,0.354518,-1.000000,secondary,a,,,"LINESTRING (-112.203010 33.676770,-112.203020 33.676820,)"
23183AB,link,272900,272700,618.166687,0,2,41.000000,0.460288,-1.000000,secondary,a,,,"LINESTRING (-112.203100 33.666580,-112.203090 33.665960,)"
23183BA,link,317201,272900,193.541672,0,1,41.000000,0.288438,-1.000000,secondary,a,,,"LINESTRING (-112.202930 33.666030,-112.203100 33.666580,)"
23683AB,link,281100,9029903,722.000000,0,4,40.000000,0.316112,-1.000000,secondary,a,,,"LINESTRING (-112.073750 33.683820,-112.074040 33.683820,)"
23683BA,link,9029904,9029900,369.083344,0,1,20.000000,0.011073,-1.000000,residential,a,,,"LINESTRING (-112.074180 33.683610,-112.074070 33.683690,)"
23696AB,link,75500,128300,3455.600098,0,4,70.000000,0.496209,-1.000000,motorway,f,f,a,"LINESTRING (-112.112280 33.684150,-112.112290 33.684980,)"
23701AB,link,9038801,9038800,275.833344,0,1,41.000000,0.411078,-1.000000,secondary,a,,,"LINESTRING (-112.005410 33.684090,-112.004930 33.684100,)"
23701BA,link,9038802,9038803,115.375000,0,1,41.000000,0.171945,-1.000000,secondary,a,,,"LINESTRING (-112.004910 33.684240,-112.005400 33.684230,)"
23709AB,link,47500,902,6856.645508,0,7,70.000000,0.562620,-1.000000,motorway,f,,,"LINESTRING (-112.113200 33.691130,-112.112960 33.689310,)"
23908AB,link,37803,37806,154.187500,0,1,41.000000,0.229788,-1.000000,secondary,a,,,"LINESTRING (-112.151970 33.647430,-112.151980 33.647340,)"
23908BA,link,37804,37802,259.187500,0,1,25.000000,0.007776,-1.000000,tertiary,a,,,"LINESTRING (-112.151800 33.647340,-112.151830 33.647420,)"
23911AB,link,10403,10406,365.625000,0,1,41.000000,0.544896,-1.000000,secondary,a,,,"LINESTRING (-112.186460 33.647290,-112.186470 33.647200,)"
23911BA,link,10402,231002,710.000000,0,2,41.000000,0.528667,-1.000000,secondary,a,,,"LINESTRING (-112.186330 33.647270,-112.186320 33.647510,)"
23943AB,link,13301,158101,785.625000,0,2,41.000000,0.584978,-1.000000,primary,a,,,"LINESTRING (-112.168400 33.632260,-112.168380 33.631840,)"
23943BA,link,158100,13300,892.125000,0,3,41.000000,0.442962,-1.000000,primary,a,,,"LINESTRING (-112.168250 33.631840,-112.168270 33.632250,)"
23952AB,link,106001,9029200,382.000000,0,3,41.000000,0.189672,-1.000000,secondary,a,,,"LINESTRING (-112.180220 33.654490,-112.181540 33.654500,)"
23952BA,link,9029103,9029105,311.875000,0,1,41.000000,0.464791,-1.000000,secondary,a,,,"LINESTRING (-112.177770 33.654370,-112.177630 33.654300,)"
24016AB,link,140100,137501,831.500000,0,2,41.000000,0.619136,-1.000000,secondary,a,,,"LINESTRING (-112.186780 33.675450,-112.186800 33.672920,)"
24016BA,link,9028902,333200,477.125000,0,2,41.000000,0.355268,-1.000000,secondary,a,,,"LINESTRING (-112.186670 33.672680,-112.186650 33.675070,)"
24017AB,link,9028906,9017100,144.250000,0,1,25.000000,0.004328,-1.000000,residential,a,,,"LINESTRING (-112.186880 33.672570,-112.187420 33.672530,)"
24017BA,link,9017101,9028907,328.750000,0,1,25.000000,0.009863,-1.000000,residential,a,,,"LINESTRING (-112.187420 33.672530,-112.186880 33.672490,)"
24023AB,link,203001,203003,420.187500,0,1,41.000000,0.296826,-1.000000,primary,a,,,"LINESTRING (-112.168920 33.654630,-112.168900 33.654400,)"
24023BA,link,106202,89302,825.375000,0,3,41.000000,0.409819,-1.000000,primary,a,,,"LINESTRING (-112.168990 33.660800,-112.169030 33.661660,)"
24086AB,link,225800,9028003,1099.833374,0,4,41.000000,0.409621,-1.000000,primary,a,,,"LINESTRING (-112.159710 33.639250,-112.160300 33.639240,)"
24086BA,link,9028001,225200,1349.625000,0,3,41.000000,0.670122,-1.000000,primary,a,,,"LINESTRING (-112.160300 33.639100,-112.157910 33.639140,)"
24095AB,link,24503,223701,645.750000,0,2,40.000000,0.565455,-1.000000,secondary,a,,,"LINESTRING (-112.134540 33.647270,-112.134540 33.646950,)"
24095BA,link,24502,24505,205.375000,0,1,40.000000,0.359676,-1.000000,secondary,a,,,"LINESTRING (-112.134390 33.647230,-112.134400 33.647350,)"
24144AB,link,25603,25601,648.375000,0,2,40.000000,0.283877,-1.000000,secondary,a,,,"LINESTRING (-112.134780 33.676570,-112.134780 33.676350,)"
24144BA,link,25600,25602,580.500000,0,2,40.000000,0.254159,-1.000000,secondary,a,,,"LINESTRING (-112.134660 33.676350,-112.134670 33.676570,)"
24693AB,link,9027001,9027005,373.089294,0,1,40.000000,0.653396,-1.000000,primary,a,,,"LINESTRING (-112.123430 33.639840,-112.123570 33.639910,)"
24693BA,link,164902,131801,1585.125000,0,3,40.000000,0.925350,-1.000000,primary,a,,,"LINESTRING (-112.118240 33.639780,-112.118000 33.639780,)"
24721AB,link,98302,96900,324.625000,0,1,40.000000,0.568520,-1.000000,primary,a,,,"LINESTRING (-112.099790 33.633530,-112.100130 33.633010,)"
24721BA,link,98301,208502,581.250000,0,3,40.000000,0.339317,-1.000000,primary,a,,,"LINESTRING (-112.099660 33.633530,-112.099640 33.635760,)"
24729AB,link,9036102,53201,3264.562500,0,3,70.000000,0.625036,-1.000000,motorway,f,f,a,"LINESTRING (-112.114000 33.640140,-112.114090 33.640850,)"
24732AB,link,37700,37701,958.625000,0,1,40.000000,1.678853,-1.000000,secondary,a,,,"LINESTRING (-112.115450 33.647510,-112.115470 33.647290,)"
24733AB,link,41700,35900,757.500000,0,2,40.000000,0.663310,-1.000000,secondary,a,,,"LINESTRING (-112.114970 33.642700,-112.114950 33.644060,)"
24768AB,link,211701,9027602,1181.187500,0,4,40.000000,0.517157,-1.000000,primary,a,,,"LINESTRING (-112.103450 33.640160,-112.103890 33.640150,)"
24768BA,link,9027604,190502,1709.500000,0,4,40.000000,0.748468,-1.000000,primary,a,,,"LINESTRING (-112.103880 33.640010,-112.103130 33.640020,)"
24777AB,link,51801,82101,4456.250000,0,5,70.000000,0.511918,-1.000000,motorway,f,f,a,"LINESTRING (-112.099350 33.669580,-112.100290 33.669450,)"
24779AB,link,77701,4000,3953.958496,0,5,70.000000,0.454217,-1.000000,motorway,f,f,a,"LINESTRING (-112.126610 33.668860,-112.127550 33.668860,)"
24782AB,link,328200,328101,2812.500000,0,4,70.000000,0.403863,-1.000000,motorway,f,f,a,"LINESTRING (-112.115730 33.668630,-112.114090 33.668630,)"
24792AB,link,65401,65501,557.750000,0,2,70.000000,0.160181,-1.000000,moto_2lane,a,,,"LINESTRING (-112.123860 33.668410,-112.120850 33.668360,)"
24793AB,link,366701,275701,1691.000000,0,2,40.000000,1.480736,-1.000000,secondary,a,,,"LINESTRING (-112.104340 33.669340,-112.107950 33.669350,)"
24804AB,link,127402,127404,318.000000,0,2,40.000000,0.236960,-1.000000,secondary,a,,,"LINESTRING (-112.117220 33.683880,-112.117450 33.683700,)"
24804BA,link,127401,127403,557.000000,0,2,40.000000,0.487741,-1.000000,secondary,a,,,"LINESTRING (-112.117550 33.683740,-112.117250 33.683740,)"
24811AB,link,4100,4104,371.270844,0,1,40.000000,0.650212,-1.000000,secondary,a,,,"LINESTRING (-112.125670 33.654720,-112.125860 33.654580,)"
24811BA,link,4105,4101,715.066650,0,1,20.000000,0.021452,-1.000000,tertiary,a,,,"LINESTRING (-112.125780 33.654580,-112.125690 33.654610,)"
24946AB,link,9038303,9038300,398.604156,0,1,40.000000,0.698081,-1.000000,secondary,a,,,"LINESTRING (-112.111170 33.654640,-112.110840 33.654640,)"
24946BA,link,9038302,9038301,677.625000,0,3,40.000000,0.395578,-1.000000,secondary,a,,,"LINESTRING (-112.110830 33.654790,-112.111150 33.654790,)"
25020AB,link,127300,142100,1783.642822,0,4,40.000000,0.780929,-1.000000,secondary,a,,,"LINESTRING (-112.108670 33.683730,-112.108550 33.683790,)"
25020BA,link,142103,41500,581.250000,0,3,40.000000,0.339317,-1.000000,secondary,a,,,"LINESTRING (-112.108550 33.683790,-112.108670 33.683850,)"
25079AB,link,74800,75101,177.500000,0,1,70.000000,0.101953,-1.000000,moto_1lane,a,,,"LINESTRING (-112.112110 33.686810,-112.112500 33.688600,)"
25149AB,link,9027101,9027102,478.916656,0,2,40.000000,0.419367,-1.000000,primary,a,,,"LINESTRING (-112.074010 33.640340,-112.074330 33.640340,)"
25149BA,link,132505,132501,448.041656,0,1,20.000000,0.013441,-1.000000,residential,a,,,"LINESTRING (-112.082940 33.638570,-112.082780 33.638720,)"
25199AB,link,50902,73300,5356.718750,0,5,70.000000,0.615361,-1.000000,motorway,f,f,a,"LINESTRING (-112.099250 33.669350,-112.091850 33.669400,)"
25212AB,link,134407,134402,237.500000,0,1,20.000000,0.007125,-1.000000,residential,a,,,"LINESTRING (-112.082750 33.661950,-112.082890 33.661800,)"
25212BA,link,134403,134406,296.250000,0,1,40.000000,0.518827,-1.000000,secondary,a,,,"LINESTRING (-112.082780 33.661810,-112.082750 33.661880,)"
25259AB,link,125102,124900,389.850006,0,2,40.000000,0.341375,-1.000000,secondary,a,,,"LINESTRING (-112.132160 33.683780,-112.130560 33.683780,)"
25259BA,link,125102,124900,673.125000,0,2,40.000000,0.589426,-1.000000,secondary,a,,,"LINESTRING (-112.132160 33.683780,-112.130560 33.683780,)"
25592AB,link,27101,280801,993.625000,0,2,40.000000,0.870074,-1.000000,primary,a,,,"LINESTRING (-112.099990 33.690940,-112.099990 33.690550,)"
25592BA,link,280800,27100,822.333313,0,4,40.000000,0.360041,-1.000000,primary,a,,,"LINESTRING (-112.099830 33.690590,-112.099840 33.690900,)"
25602AB,link,31400,181000,590.625000,0,3,41.000000,0.293260,-1.000000,secondary,a,,,"LINESTRING (-111.916680 33.636240,-111.916610 33.636220,)"
25602BA,link,31400,181000,375.750000,0,3,41.000000,0.186569,-1.000000,secondary,a,,,"LINESTRING (-111.916680 33.636240,-111.916610 33.636220,)"
25834AB,link,204900,169100,1833.000000,0,4,40.000000,0.802539,-1.000000,primary,a,,,"LINESTRING (-112.065630 33.639770,-112.065620 33.639660,)"
25834BA,link,318300,204801,603.750000,0,3,40.000000,0.352452,-1.000000,primary,a,,,"LINESTRING (-112.065430 33.639360,-112.065430 33.639390,)"
26188AB,link,185803,185805,317.875000,0,1,40.000000,0.556699,-1.000000,primary,a,,,"LINESTRING (-112.065680 33.647700,-112.065670 33.647590,)"
26188BA,link,185807,185802,298.375000,0,1,20.000000,0.008951,-1.000000,tertiary,a,,,"LINESTRING (-112.065450 33.647610,-112.065510 33.647690,)"
26190AB,link,9007500,1304,502.625000,0,1,25.000000,0.015079,-1.000000,residential,a,,,"LINESTRING (-112.031520 33.637600,-112.030920 33.637610,)"
26190BA,link,1303,1305,194.875000,0,1,41.000000,0.290425,-1.000000,primary,a,,,"LINESTRING (-112.030750 33.637520,-112.030920 33.637670,)"
26195AB,link,60400,286500,3733.000000,0,2,41.000000,2.779598,-1.000000,secondary,a,,,"LINESTRING (-112.057160 33.668740,-112.049790 33.668550,)"
26196AB,link,9032400,60300,722.250000,0,2,41.000000,0.537789,-1.000000,secondary,a,,,"LINESTRING (-112.048730 33.669480,-112.057210 33.669460,)"
26200AB,link,218600,9029001,885.666687,0,4,41.000000,0.329857,-1.000000,primary,a,,,"LINESTRING (-112.056230 33.640430,-112.056710 33.640430,)"
26200BA,link,9029003,216400,1431.500000,0,3,41.000000,0.710775,-1.000000,primary,a,,,"LINESTRING (-112.056730 33.640270,-112.055730 33.640270,)"
26236AB,link,13103,13101,567.625000,0,2,41.000000,0.422655,-1.000000,secondary,a,,,"LINESTRING (-112.056760 33.654900,-112.057040 33.654880,)"
26236BA,link,13100,13102,1230.250000,0,2,41.000000,0.916046,-1.000000,secondary,a,,,"LINESTRING (-112.057060 33.654770,-112.056780 33.654790,)"
26256AB,link,139503,139505,283.000000,0,1,40.000000,0.495622,-1.000000,primary,a,,,"LINESTRING (-112.065730 33.676680,-112.065570 33.676520,)"
26256BA,link,139504,139502,291.250000,0,1,20.000000,0.008738,-1.000000,residential,a,,,"LINESTRING (-112.065570 33.676580,-112.065580 33.676680,)"
26296AB,link,237502,140900,898.166687,0,4,41.000000,0.334513,-1.000000,primary,a,,,"LINESTRING (-112.030890 33.635530,-112.030890 33.635380,)"
26296BA,link,140901,237503,595.875000,0,3,41.000000,0.295866,-1.000000,primary,a,,,"LINESTRING (-112.030720 33.635380,-112.030720 33.635540,)"
26304AB,link,35103,242201,644.250000,0,2,41.000000,0.479710,-1.000000,secondary,a,,,"LINESTRING (-112.013520 33.633440,-112.013520 33.633140,)"
26304BA,link,242200,35102,770.625000,0,3,41.000000,0.382634,-1.000000,secondary,a,,,"LINESTRING (-112.013390 33.633160,-112.013390 33.633430,)"
26395AB,link,84300,84200,635.625000,0,5,71.000000,0.074586,-1.000000,motorway,f,,,"LINESTRING (-112.013210 33.672890,-112.014250 33.672890,)"
26395BA,link,84401,84101,591.875000,0,5,71.000000,0.069453,-1.000000,motorway,f,,,"LINESTRING (-112.014250 33.672700,-112.013220 33.672710,)"
26399AB,link,60901,84401,7787.500000,0,5,71.000000,0.913811,-1.000000,motorway,f,,,"LINESTRING (-112.023710 33.672630,-112.014250 33.672700,)"
26400AB,link,84300,84200,5447.187500,0,5,71.000000,0.639191,-1.000000,motorway,f,,,"LINESTRING (-112.013210 33.672890,-112.014250 33.672890,)"
26403AB,link,21100,262600,717.250000,0,2,41.000000,0.534066,-1.000000,primary,a,,,"LINESTRING (-112.030910 33.662180,-112.030940 33.661830,)"
26403BA,link,21101,21104,484.375000,0,1,41.000000,0.721870,-1.000000,primary,a,,,"LINESTRING (-112.030780 33.662150,-112.030750 33.662260,)"
26404AB,link,41204,41201,203.812500,0,1,25.000000,0.356940,-1.000000,tertiary,a,,,"LINESTRING (-112.022150 33.654970,-112.022330 33.655130,)"
26404BA,link,41200,41205,473.333344,0,1,41.000000,0.705415,-1.000000,secondary,a,,,"LINESTRING (-112.022370 33.655000,-112.022240 33.655010,)"
26653AB,link,9030901,9030903,563.375000,0,1,41.000000,0.839605,-1.000000,primary,a,,,"LINESTRING (-111.968870 33.640450,-111.968550 33.640450,)"
26653BA,link,9030905,9030902,214.875000,0,1,25.000000,0.006446,-1.000000,tertiary,a,,,"LINESTRING (-111.968710 33.640650,-111.968830 33.640580,)"
26708AB,link,318700,318702,1776.562500,0,3,41.000000,0.294036,-1.000000,primary,a,,,"LINESTRING (-111.977360 33.655980,-111.977360 33.656060,)"
26708BA,link,318703,318701,744.000000,0,2,41.000000,0.276992,-1.000000,primary,a,,,"LINESTRING (-111.977490 33.656060,-111.977490 33.655980,)"
26715AB,link,298800,28701,822.125000,0,2,41.000000,0.612156,-1.000000,primary,a,,,"LINESTRING (-111.975820 33.683770,-111.975530 33.684230,)"
26715BA,link,113601,113500,1553.500000,0,2,41.000000,1.156739,-1.000000,primary,a,,,"LINESTRING (-111.975730 33.684320,-111.976290 33.683320,)"
26751AB,link,38106,38103,267.625000,0,1,25.000000,0.008029,-1.000000,tertiary,a,,,"LINESTRING (-111.960410 33.633220,-111.960380 33.633150,)"
26751BA,link,38102,38104,239.000000,0,1,41.000000,0.356185,-1.000000,secondary,a,,,"LINESTRING (-111.960250 33.633130,-111.960240 33.633220,)"
26780AB,link,9032506,9032507,391.812500,0,1,41.000000,0.583923,-1.000000,secondary,a,,,"LINESTRING (-111.959960 33.663380,-111.959950 33.663800,)"
26797AB,link,174001,174000,221.500000,0,2,41.000000,0.164929,-1.000000,secondary,a,,,"LINESTRING (-111.956000 33.663380,-111.955730 33.663320,)"
26797BA,link,306701,174001,1064.437500,0,3,41.000000,0.528519,-1.000000,secondary,a,,,"LINESTRING (-111.956710 33.663480,-111.956000 33.663380,)"
26835AB,link,178001,9000700,415.062500,0,3,25.000000,0.004151,-1.000000,tertiary,a,,,"LINESTRING (-111.942580 33.660370,-111.942570 33.660610,)"
26896AB,link,9040905,9040902,433.541656,0,1,25.000000,0.759267,-1.000000,tertiary,a,,,"LINESTRING (-112.025620 33.699330,-112.025960 33.699240,)"
26896BA,link,9040901,9040904,653.000000,0,1,41.000000,0.973174,-1.000000,primary,a,,,"LINESTRING (-112.025830 33.699180,-112.025690 33.699230,)"
27025AB,link,23103,23101,286.750000,0,1,41.000000,0.427347,-1.000000,secondary,a,,,"LINESTRING (-111.942590 33.698770,-111.942760 33.698770,)"
27025BA,link,23100,23102,688.625000,0,1,41.000000,1.026267,-1.000000,secondary,a,,,"LINESTRING (-111.942760 33.698700,-111.942590 33.698700,)"
28009AB,link,124000,124001,861.375000,0,3,41.000000,0.427694,-1.000000,secondary,a,,,"LINESTRING (-111.916640 33.636380,-111.916790 33.636420,)"
28009BA,link,31400,181000,1325.625000,0,3,41.000000,0.658205,-1.000000,secondary,a,,,"LINESTRING (-111.916680 33.636240,-111.916610 33.636220,)"
28049AB,link,9034601,9034600,459.750000,0,3,41.000000,0.228277,-1.000000,secondary,a,,,"LINESTRING (-111.929950 33.655090,-111.929460 33.655090,)"
28049BA,link,9038101,9038100,380.750000,0,2,41.000000,0.283507,-1.000000,secondary,a,,,"LINESTRING (-111.929440 33.655270,-111.929880 33.655270,)"
28060AB,link,9026805,9026800,1168.000000,0,2,41.000000,0.869695,-1.000000,primary,a,,,"LINESTRING (-111.925460 33.655450,-111.925460 33.654960,)"
28060BA,link,9026806,9026803,691.750000,0,2,41.000000,0.515078,-1.000000,primary,a,,,"LINESTRING (-111.925250 33.654910,-111.925090 33.655090,)"
28084AB,link,9034801,9034803,1535.833374,0,2,41.000000,1.143584,-1.000000,primary,a,,,"LINESTRING (-111.925340 33.664670,-111.925320 33.664320,)"
28084BA,link,9034802,9034800,1296.875000,0,2,41.000000,0.965655,-1.000000,primary,a,,,"LINESTRING (-111.925190 33.664300,-111.925210 33.664660,)"
28451AB,link,145106,344200,800.875000,0,2,41.000000,0.596333,-1.000000,primary,a,,,"LINESTRING (-111.925260 33.698810,-111.925260 33.699130,)"
28451BA,link,145107,145102,798.500000,0,1,41.000000,1.190015,-1.000000,primary,a,,,"LINESTRING (-111.925400 33.698820,-111.925400 33.698730,)"
