agent_id,date,,hh,mm,ss,y_coord,x_coord
1,17:24:10,,17,24,10,33.41237445,-111.9590124
1,17:24:32,,17,24,32,33.412375,-111.959012
1,17:24:52,,17,24,52,33.41237526,-111.959012
1,17:25:13,,17,25,13,33.41237525,-111.9590123
1,17:25:35,,17,25,35,33.4123751,-111.9590127
1,17:25:56,,17,25,56,33.41237533,-111.9590128
1,17:26:18,,17,26,18,33.41237522,-111.9590129
1,17:26:38,,17,26,38,33.41237521,-111.959013
1,17:26:57,,17,26,57,33.41237497,-111.9590133
1,17:27:17,,17,27,17,33.4123444,-111.9584448
1,17:27:37,,17,27,37,33.41175091,-111.9579494
1,17:28:01,,17,28,1,33.41153796,-111.9593507
1,17:28:20,,17,28,20,33.41160451,-111.9607472
1,17:28:42,,17,28,42,33.41454827,-111.9607815
1,17:29:03,,17,29,3,33.41818706,-111.9608056
1,17:29:23,,17,29,23,33.42107727,-111.9608339
1,17:29:41,,17,29,41,33.42159545,-111.9608324
1,17:30:03,,17,30,3,33.42360092,-111.9608503
1,17:30:24,,17,30,24,33.4256372,-111.9608466
1,17:30:48,,17,30,48,33.42863494,-111.9608238
1,17:31:04,,17,31,4,33.4323316,-111.9610774
1,17:31:25,,17,31,25,33.43587233,-111.9608579
1,17:31:45,,17,31,45,33.43697314,-111.9596166
1,17:32:06,,17,32,6,33.43605303,-111.9547737
1,17:32:27,,17,32,27,33.43599743,-111.9527462
1,17:32:50,,17,32,50,33.43587162,-111.9500464
1,17:33:08,,17,33,8,33.43575236,-111.947207
1,17:33:29,,17,33,29,33.435497,-111.9431717
1,17:33:51,,17,33,51,33.43502224,-111.938547
1,17:34:13,,17,34,13,33.43476438,-111.9363415
1,17:34:32,,17,34,32,33.4348751,-111.9355208
1,17:34:56,,17,34,56,33.43493889,-111.9344639
1,17:35:14,,17,35,14,33.43540728,-111.9315558
1,17:35:35,,17,35,35,33.43583478,-111.9288533
1,17:35:59,,17,35,59,33.43591467,-111.9267733
1,17:36:18,,17,36,18,33.4359174,-111.9250017
1,17:36:36,,17,36,36,33.43585039,-111.9228261
1,17:37:00,,17,37,0,33.43578219,-111.9195373
1,17:37:19,,17,37,19,33.43574146,-111.9149303
1,17:37:37,,17,37,37,33.4362331,-111.9107995
1,17:38:01,,17,38,1,33.43644304,-111.9098594
1,17:38:20,,17,38,20,33.43423236,-111.9093468
1,17:38:39,,17,38,39,33.43253011,-111.9092853
1,17:39:02,,17,39,2,33.4325265,-111.9092851
1,17:39:21,,17,39,21,33.43252612,-111.9092855
1,17:39:41,,17,39,41,33.43190725,-111.9091228
1,17:40:03,,17,40,3,33.43229462,-111.9073038
1,17:40:25,,17,40,25,33.43247265,-111.9066476
1,17:40:44,,17,40,44,33.43231643,-111.9057021
1,17:41:07,,17,41,7,33.43173974,-111.9060111
1,17:41:27,,17,41,27,33.43154707,-111.9069643
1,17:41:49,,17,41,49,33.43128915,-111.9077017
1,17:42:09,,17,42,9,33.43144587,-111.9079216
1,17:42:27,,17,42,27,33.43182425,-111.9076283
1,17:42:50,,17,42,50,33.43182984,-111.9069228
1,17:43:10,,17,43,10,33.43227049,-111.9066366
1,17:43:29,,17,43,29,33.43231716,-111.9074533
1,17:43:49,,17,43,49,33.43220406,-111.9088823
1,17:44:10,,17,44,10,33.43219477,-111.9089002
1,17:44:34,,17,44,34,33.43218238,-111.9091809
1,17:44:51,,17,44,51,33.43531969,-111.9094739
1,17:45:31,,17,45,31,33.43581968,-111.9097058
1,17:45:57,,17,45,57,33.43614523,-111.9097315
1,17:46:21,,17,46,21,33.43646005,-111.9124511
1,17:46:38,,17,46,38,33.43629661,-111.9171582
1,17:46:58,,17,46,58,33.43633812,-111.9227397
1,17:47:17,,17,47,17,33.43624478,-111.9289115
1,17:47:38,,17,47,38,33.43540251,-111.9345087
1,17:47:57,,17,47,57,33.43560503,-111.9399185
1,17:48:18,,17,48,18,33.43629036,-111.9461734
1,17:48:41,,17,48,41,33.43663211,-111.9522203
1,17:49:02,,17,49,2,33.43757524,-111.9578947
1,17:49:22,,17,49,22,33.43841478,-111.9604049
1,17:49:43,,17,49,43,33.43746406,-111.9609902
1,17:50:04,,17,50,4,33.4366961,-111.9610382
1,17:50:26,,17,50,26,33.43308734,-111.9612358
1,17:50:53,,17,50,53,33.42985854,-111.9610351
1,17:51:05,,17,51,5,33.42648656,-111.9610275
1,17:51:27,,17,51,27,33.42317705,-111.9610631
1,17:51:47,,17,51,47,33.42262069,-111.9610571
1,17:52:08,,17,52,8,33.4202992,-111.961009
1,17:52:29,,17,52,29,33.41731786,-111.9608991
1,17:52:50,,17,52,50,33.41548429,-111.9609064
1,17:53:22,,17,53,22,33.41298613,-111.960899
1,17:53:32,,17,53,32,33.41019975,-111.9608436
1,17:53:53,,17,53,53,33.40697304,-111.960832
1,17:54:11,,17,54,11,33.40357944,-111.9607883
1,17:54:35,,17,54,35,33.40064576,-111.9607849
1,17:54:55,,17,54,55,33.40023051,-111.9607916
1,17:55:13,,17,55,13,33.40013652,-111.9599402
1,17:55:36,,17,55,36,33.40045543,-111.9584162
1,17:55:57,,17,55,57,33.40069508,-111.9584426
1,17:56:17,,17,56,17,33.40120936,-111.9587215
1,17:56:37,,17,56,37,33.40120001,-111.9595048
1,17:56:59,,17,56,59,33.40143799,-111.9600315
1,17:57:20,,17,57,20,33.40213108,-111.9598764
1,17:57:38,,17,57,38,33.40213537,-111.9598703
1,17:58:04,,17,58,4,33.40214201,-111.9598768
1,17:58:23,,17,58,23,33.40214335,-111.9598757
1,17:58:46,,17,58,46,33.40214347,-111.9598747
1,17:59:04,,17,59,4,33.40214365,-111.9598757
1,17:59:21,,17,59,21,33.40214374,-111.9598767
1,17:59:45,,17,59,45,33.40214518,-111.9598767
1,18:00:03,,18,0,3,33.4021463,-111.9598756
1,18:00:26,,18,0,26,33.40214591,-111.9598751
1,18:00:47,,18,0,47,33.40214756,-111.9598739
1,18:01:09,,18,1,9,33.4021487,-111.9598736
1,18:01:26,,18,1,26,33.4021487,-111.9598735
1,18:01:51,,18,1,51,33.4021487,-111.9598735
1,18:02:11,,18,2,11,33.40174946,-111.9604664
1,18:02:31,,18,2,31,33.40121204,-111.9599322
1,18:02:50,,18,2,50,33.40113164,-111.9592571
1,18:03:13,,18,3,13,33.40111405,-111.95857
1,18:03:34,,18,3,34,33.40061602,-111.9584557
1,18:03:54,,18,3,54,33.40018697,-111.9587675
1,18:04:14,,18,4,14,33.40021647,-111.9605934
1,18:04:33,,18,4,33,33.40207128,-111.9606976
1,18:04:57,,18,4,57,33.40570118,-111.9607435
1,18:05:18,,18,5,18,33.40935297,-111.9607555
1,18:05:41,,18,5,41,33.41301533,-111.9607852
1,18:05:59,,18,5,59,33.41681935,-111.9608235
1,18:06:21,,18,6,21,33.42062666,-111.960876
1,18:06:41,,18,6,41,33.42176988,-111.9609163
1,18:07:02,,18,7,2,33.42177204,-111.9609173
1,18:07:24,,18,7,24,33.4217683,-111.9609168
1,18:07:45,,18,7,45,33.42177176,-111.9609183
1,18:08:07,,18,8,7,33.42194607,-111.9610612
1,18:08:25,,18,8,25,33.42201736,-111.964543
1,18:08:45,,18,8,45,33.42202377,-111.9688172
1,18:09:07,,18,9,7,33.42201338,-111.973199
1,18:09:27,,18,9,27,33.422034,-111.9772389
1,18:09:48,,18,9,48,33.42491128,-111.977791
1,18:10:10,,18,10,10,33.43003107,-111.9780135
1,18:10:30,,18,10,30,33.43501697,-111.9785766
1,18:10:51,,18,10,51,33.4404342,-111.9797126
1,18:11:11,,18,11,11,33.44552773,-111.9811113
1,18:11:31,,18,11,31,33.4507306,-111.9820462
1,18:11:50,,18,11,50,33.45564909,-111.9832527
1,18:12:14,,18,12,14,33.45930915,-111.9851152
1,18:12:34,,18,12,34,33.45900544,-111.9909514
1,18:13:00,,18,13,0,33.45944174,-111.9967209
1,18:13:18,,18,13,18,33.45950413,-111.9992509
1,18:13:36,,18,13,36,33.45917496,-112.0022383
1,18:13:58,,18,13,58,33.45916251,-112.0045655
1,18:14:17,,18,14,17,33.45921651,-112.0057147
1,18:14:39,,18,14,39,33.45939273,-112.0073068
1,18:15:02,,18,15,2,33.45966794,-112.008578
1,18:15:20,,18,15,20,33.46000718,-112.0098871
1,18:15:43,,18,15,43,33.46024787,-112.0105523
1,18:16:03,,18,16,3,33.46048273,-112.0114215
1,18:16:26,,18,16,26,33.46073977,-112.0122528
1,18:16:46,,18,16,46,33.46100458,-112.0131296
1,18:17:09,,18,17,9,33.46120687,-112.0137846
1,18:17:26,,18,17,26,33.46135719,-112.0143773
1,18:17:54,,18,17,54,33.46155756,-112.015558
1,18:18:14,,18,18,14,33.46179262,-112.0167373
1,18:18:32,,18,18,32,33.46192349,-112.017505
1,18:18:53,,18,18,53,33.46208873,-112.0187088
1,18:19:11,,18,19,11,33.46218818,-112.0199651
1,18:19:35,,18,19,35,33.46222207,-112.0208149
1,18:20:03,,18,20,3,33.4622338,-112.0217638
1,18:20:23,,18,20,23,33.46224309,-112.0230479
1,18:20:36,,18,20,36,33.46223516,-112.0248534
1,18:21:18,,18,21,18,33.46219346,-112.0262263
1,18:21:19,,18,21,19,33.46219077,-112.0274903
1,18:21:37,,18,21,37,33.46219373,-112.0298964
1,18:21:58,,18,21,58,33.46241883,-112.0328075
1,18:22:19,,18,22,19,33.46311478,-112.0365264
1,18:22:42,,18,22,42,33.46689815,-112.0379435
1,18:23:00,,18,23,0,33.47192366,-112.0384226
1,18:23:22,,18,23,22,33.47680312,-112.0383832
1,18:23:42,,18,23,42,33.48147095,-112.0387588
1,18:24:03,,18,24,3,33.48577022,-112.0410977
1,18:24:23,,18,24,23,33.49038072,-112.0435447
1,18:24:53,,18,24,53,33.49550597,-112.0438417
1,18:25:04,,18,25,4,33.50138475,-112.0436254
